"N200_latencies","N200_amplitudes","RT","accuracy","condition","EEG_session","experiment","session","subject","spf"
0.266,1.2163,0.945,1,1,0,1,1,1,"low"
0.235,0.2929,0.773,1,1,0,1,1,1,"low"
0.209,1.7215,1.505,1,1,0,1,1,1,"low"
0.209,0.7808,0.672,0,1,0,1,1,1,"high"
0.249,-1.0342,1.079,1,0,0,1,1,1,"high"
0.196,1.2913,0.989,1,2,0,1,1,1,"low"
0.175,-0.0836,0.587,1,2,0,1,1,1,"low"
0.271,0.7185,0.512,0,0,0,1,1,1,"high"
0.219,1.7282,0.608,1,1,0,1,1,1,"low"
0.248,-0.3124,0.928,1,0,0,1,1,1,"low"
0.241,0.225,0.883,0,0,0,1,1,1,"low"
0.176,1.1975,0.987,0,2,0,1,1,1,"high"
0.185,0.6519,1.078,0,2,0,1,1,1,"low"
0.242,-1.3089,1.118,1,0,0,1,1,1,"low"
0.259,1.8337,1.083,0,1,0,1,1,1,"high"
0.182,0.3924,1.197,0,2,0,1,1,1,"high"
0.2,1.14,0.697,1,1,0,1,1,1,"high"
0.188,0.1499,0.737,1,0,0,1,1,1,"low"
0.244,1.5763,1.061,0,1,0,1,1,1,"low"
0.268,1.3671,0.969,0,0,0,1,1,1,"high"
0.206,0.998,0.897,0,1,0,1,1,1,"high"
0.244,0.9207,0.704,1,1,0,1,1,1,"high"
0.192,1.8714,1.201,0,1,0,1,1,1,"high"
0.194,0.3198,0.875,1,0,0,1,1,1,"low"
0.246,2.6811,0.883,1,0,0,1,1,1,"low"
0.229,1.089,0.588,1,1,0,1,1,1,"low"
0.164,1.077,0.524,1,2,0,1,1,1,"low"
0.244,0.675,0.919,1,1,0,1,1,1,"high"
0.206,1.0249,0.583,1,1,0,1,1,1,"low"
0.172,1.0471,0.583,0,2,0,1,1,1,"high"
0.169,-0.2934,0.513,1,2,0,1,1,1,"low"
0.204,1.0115,0.826,1,2,0,1,1,1,"low"
0.169,0.6415,0.763,0,2,0,1,1,1,"high"
0.181,1.0394,0.548,0,2,0,1,1,1,"high"
0.235,0.4124,1.348,1,1,0,1,1,1,"low"
0.2,1.4804,1.077,0,1,0,1,1,1,"high"
0.18,0.363,1.158,0,2,0,1,1,1,"low"
0.21,0.8449,1.783,1,1,0,1,1,1,"low"
0.267,2.3658,0.78,0,0,0,1,1,1,"high"
0.159,1.3306,0.422,0,2,0,1,1,1,"high"
0.225,0.7209,0.687,1,1,0,1,1,1,"low"
0.197,2.1498,0.879,1,1,0,1,1,1,"low"
0.207,1.5219,1.105,0,1,0,1,1,1,"high"
0.168,1.5334,0.524,0,2,0,1,1,1,"low"
0.161,1.6694,0.502,1,2,0,1,1,1,"low"
0.195,2.3301,1.156,0,0,0,1,1,1,"low"
0.185,1.2129,0.734,1,2,0,1,1,1,"low"
0.224,1.7132,1.04,0,0,0,1,1,1,"low"
0.189,0.8852,1.12,1,2,0,1,1,1,"low"
0.227,2.9032,1.05,1,1,0,1,1,1,"low"
0.257,1.2485,0.664,1,2,0,1,1,1,"low"
0.159,1.4378,0.442,1,2,0,1,1,1,"high"
0.192,0.3578,1.087,1,1,0,1,1,1,"high"
0.175,0.6573,0.395,0,2,0,1,1,1,"high"
0.195,1.2494,0.916,1,1,0,1,1,1,"high"
0.25,1.1136,0.869,1,1,0,1,1,1,"high"
0.202,3.2337,0.8,0,0,0,1,1,1,"high"
0.242,1.2644,0.889,0,0,0,1,1,1,"high"
0.236,1.6718,0.97,0,0,0,1,1,1,"high"
0.178,1.2399,0.822,1,2,0,1,1,1,"low"
0.173,1.2208,0.388,1,2,0,1,1,1,"high"
0.174,1.2112,0.951,1,2,0,1,1,1,"low"
0.245,0.4021,0.697,0,0,0,1,1,1,"high"
0.264,2.1076,0.585,1,0,0,1,1,1,"low"
0.212,1.5024,0.607,1,1,0,1,1,1,"low"
0.261,0.2986,0.995,0,1,0,1,1,1,"high"
0.208,2.3329,0.701,0,1,0,1,1,1,"high"
0.218,2.2906,0.685,0,0,0,1,1,1,"high"
0.169,1.2443,0.813,0,2,0,1,1,1,"high"
0.229,1.9488,0.729,1,0,0,1,1,1,"high"
0.17,0.8561,0.475,1,2,0,1,1,1,"high"
0.253,1.535,0.646,1,0,0,1,1,1,"high"
0.174,1.1143,0.727,0,2,0,1,1,1,"high"
0.193,1.1495,0.633,0,2,0,1,1,1,"high"
0.169,1.731,0.712,1,2,0,1,1,1,"high"
0.181,1.1061,0.599,1,2,0,1,1,1,"low"
0.18,1.7198,0.672,1,2,0,1,1,1,"low"
0.226,0.7488,0.609,1,1,0,1,1,1,"low"
0.155,0.7672,0.922,1,2,0,1,1,1,"low"
0.166,1.361,0.432,1,2,0,1,1,1,"high"
0.173,0.8377,0.994,1,2,0,1,1,1,"low"
0.17,1.8147,1.048,1,2,0,1,1,1,"low"
0.159,1.6992,1.072,1,2,0,1,1,1,"low"
0.193,1.0508,1.249,1,1,0,1,1,1,"low"
0.183,2.871,0.621,1,0,0,1,1,1,"high"
0.26,0.8388,0.476,1,0,0,1,1,1,"low"
0.259,2.248,0.569,1,0,0,1,1,1,"high"
0.21,1.0178,1.075,1,1,0,1,1,1,"low"
0.17,0.9312,0.686,1,2,0,1,1,1,"low"
0.211,0.7826,1.322,1,0,0,1,1,1,"low"
0.23,1.2564,1.325,1,1,0,1,1,1,"low"
0.173,0.9596,0.479,1,2,0,1,1,1,"low"
0.164,2.2951,0.973,1,0,0,1,1,1,"low"
0.225,0.5761,1.302,1,1,0,1,1,1,"low"
0.269,0.788,0.816,1,1,0,1,1,1,"low"
0.228,1.6626,0.656,1,0,0,1,1,1,"low"
0.197,1.8131,1.397,1,1,0,1,1,1,"high"
0.218,3.5388,0.801,0,0,0,1,1,1,"high"
0.266,1.9576,0.715,0,0,0,1,1,1,"high"
0.2,1.6903,0.865,1,1,0,1,1,1,"low"
0.16,1.4364,0.918,1,2,0,1,1,1,"high"
0.244,2.2379,0.92,1,0,0,1,1,1,"low"
0.201,2.2745,0.983,0,0,0,1,1,1,"high"
0.225,3.2763,0.935,0,0,0,1,1,1,"high"
0.17,1.1936,0.936,0,2,0,1,1,1,"high"
0.212,0.978,0.972,1,1,0,1,1,1,"low"
0.178,1.2208,0.67,1,2,0,1,1,1,"low"
0.197,1.7745,0.879,0,0,0,1,1,1,"high"
0.167,1.5129,0.705,0,2,0,1,1,1,"high"
0.219,2.0522,0.663,1,1,0,1,1,1,"low"
0.19,0.3908,0.84,1,1,0,1,1,1,"high"
0.184,1.138,0.591,0,2,0,1,1,1,"high"
0.24,2.7258,1.159,0,0,0,1,1,1,"high"
0.18,1.4533,0.704,1,1,0,1,1,1,"low"
0.193,1.6157,0.843,1,1,0,1,1,1,"high"
0.211,1.3025,0.683,0,1,0,1,1,1,"high"
0.266,2.3862,1.128,0,0,0,1,1,1,"high"
0.168,0.9062,1.246,1,2,0,1,1,1,"low"
0.259,1.2324,0.99,1,0,0,1,1,1,"low"
0.247,2.172,1.047,0,0,0,1,1,1,"high"
0.213,1.445,1.221,0,1,0,1,1,1,"high"
0.167,0.6506,0.61,1,1,0,1,1,1,"low"
0.155,0.5912,0.817,1,2,0,1,1,1,"low"
0.166,1.4889,0.986,0,1,0,1,1,1,"low"
0.16,1.2337,0.621,0,2,0,1,1,1,"high"
0.221,0.3174,1.218,1,1,0,1,1,1,"high"
0.166,0.8376,0.674,1,2,0,1,1,1,"low"
0.201,1.4128,0.659,1,2,0,1,1,1,"low"
0.233,0.5308,1.149,0,1,0,1,1,1,"high"
0.234,2.2139,0.8,1,0,0,1,1,1,"low"
0.238,3.6576,1.096,1,0,0,1,1,1,"low"
0.164,1.3825,1.272,1,2,0,1,1,1,"low"
0.185,1.8503,1.338,1,1,0,1,1,1,"low"
0.156,1.3097,1.161,1,2,0,1,1,1,"low"
0.162,1.1819,1.313,1,2,0,1,1,1,"low"
0.209,1.821,0.521,1,1,0,1,1,1,"low"
0.263,2.4075,0.609,1,0,0,1,1,1,"low"
0.191,1.5444,0.592,1,1,0,1,1,1,"high"
0.171,1.6727,0.78,1,2,0,1,1,1,"low"
0.199,0.4451,0.843,1,1,0,1,1,1,"high"
0.249,3.9696,0.637,1,0,0,1,1,1,"high"
0.205,1.4187,0.889,1,0,0,1,1,1,"low"
0.18,1.6027,0.791,1,2,0,1,1,1,"low"
0.195,1.4182,1.131,0,1,0,1,1,1,"high"
0.256,1.3246,1.164,0,0,0,1,1,1,"high"
0.174,0.9332,0.387,1,2,0,1,1,1,"low"
